color,category,status,interactionTime
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,accepted,2.214
Red,Work,accepted,2.117
Red,Social,accepted,0.747
Green,Emergency,accepted,1.297
Green,Work,accepted,1
Green,Social,dismissed,5.924
Blue,Emergency,accepted,1.167
Blue,Work,accepted,1.473
Blue,Social,dismissed,1.608
Red,Emergency,accepted,0.689
Red,Work,accepted,0.694
Red,Social,accepted,0.9
Green,Emergency,accepted,0.886
Green,Work,accepted,0.979
Green,Social,accepted,0.908
Blue,Emergency,accepted,0.971
Blue,Work,accepted,2.285
Blue,Social,accepted,0.962
Red,Emergency,accepted,1.331
Red,Work,accepted,1.185
Red,Social,accepted,1.077
Green,Emergency,accepted,2.19
Green,Work,accepted,1.133
Green,Social,accepted,1.553
Blue,Emergency,dismissed,1.458
Blue,Work,dismissed,1.366
Blue,Social,dismissed,1.514
Red,Emergency,accepted,1.079
Red,Work,accepted,1.292
Red,Social,accepted,1.256
Green,Emergency,accepted,1.361
Green,Work,accepted,1.11
Green,Social,accepted,1.281
Blue,Emergency,dismissed,1.181
Blue,Work,dismissed,1.489
Blue,Social,dismissed,1.301
Red,Emergency,accepted,0.937
Red,Work,accepted,1.113
Red,Social,accepted,0.865
Green,Emergency,accepted,1.018
Green,Work,accepted,0.925
Green,Social,accepted,0.821
Blue,Emergency,accepted,1.762
Blue,Work,dismissed,0.704
Blue,Social,accepted,0.906
Red,Emergency,accepted,1.082
Red,Work,accepted,1.63
Red,Social,accepted,1.811
Green,Emergency,accepted,0.849
Green,Work,accepted,0.93
Green,Social,accepted,1.467
Blue,Emergency,accepted,1.298
Blue,Work,accepted,0.986
Blue,Social,accepted,1.519
Red,Emergency,accepted,6.181
Red,Work,accepted,3.206
Red,Social,dismissed,1.662
Green,Emergency,accepted,1.509
Green,Work,accepted,1.53
Green,Social,dismissed,2.968
Blue,Emergency,accepted,2.695
Blue,Work,accepted,3.569
Blue,Social,dismissed,1.923
Red,Emergency,accepted,1.412
Red,Work,accepted,1.166
Red,Social,dismissed,1.183
Green,Emergency,accepted,1.59
Green,Work,accepted,1.223
Green,Social,dismissed,1.325
Blue,Emergency,accepted,2.222
Blue,Work,accepted,2.306
Blue,Social,dismissed,1.464
Red,Emergency,accepted,4.538
Red,Work,dismissed,3.754
Red,Social,dismissed,2.937
Green,Emergency,accepted,5.215
Green,Work,dismissed,2.388
Green,Social,accepted,3.876
Blue,Emergency,dismissed,5.493
Blue,Work,accepted,4.075
Blue,Social,accepted,2.623
Red,Emergency,accepted,4.206
Red,Work,dismissed,5.349
Red,Social,dismissed,2.994
Green,Emergency,dismissed,3.822
Green,Work,accepted,5.171
Green,Social,accepted,2.637
Blue,Emergency,dismissed,4.573
Blue,Work,dismissed,3.425
Blue,Social,dismissed,5.698
Red,Emergency,accepted,1.261
Red,Work,dismissed,0.936
Red,Social,accepted,0.935
Green,Emergency,dismissed,1.864
Green,Work,accepted,0.951
Green,Social,dismissed,0.997
Blue,Emergency,dismissed,1.959
Blue,Work,dismissed,0.897
Blue,Social,dismissed,1.497
Red,Emergency,accepted,1.088
Red,Work,dismissed,0.729
Red,Social,dismissed,0.949
Green,Emergency,dismissed,1.203
Green,Work,dismissed,1.037
Green,Social,dismissed,1.246
Blue,Emergency,dismissed,1.674
Blue,Work,dismissed,1.281
Blue,Social,accepted,1.125
Red,Emergency,accepted,6.741
Red,Work,accepted,3.878
Red,Social,accepted,6.238
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,accepted,4.125
Blue,Social,dismissed,8.28
Red,Emergency,accepted,2.236
Red,Work,ignored,-1
Red,Social,dismissed,4.935
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,accepted,3.571
Blue,Emergency,ignored,-1
Blue,Work,accepted,6.582
Blue,Social,dismissed,4.838
Red,Emergency,dismissed,1.296
Red,Work,accepted,2.202
Red,Social,dismissed,6.73
Green,Emergency,dismissed,2.944
Green,Work,accepted,1.372
Green,Social,dismissed,1.814
Blue,Emergency,dismissed,1.01
Blue,Work,dismissed,2.354
Blue,Social,accepted,1.886
Red,Emergency,dismissed,1.347
Red,Work,accepted,1.249
Red,Social,dismissed,1.216
Green,Emergency,dismissed,1.303
Green,Work,accepted,0.949
Green,Social,dismissed,1.269
Blue,Emergency,accepted,2.277
Blue,Work,accepted,1.333
Blue,Social,dismissed,1.139
